age_diff_numeric,age_missing_numeric,age_missing_text,age_match_text,gender_diff,gender_missing,topicid,docid,label
1.0,0,0,1,0,1,1,1007359,Matches
0.0,1,0,0,1,0,1,10833951,Excludes
1.0,0,0,0,0,1,1,11381855,Excludes
0.0,1,1,0,0,1,1,13019089,Not Discussed
0.0,1,1,0,1,0,1,13019606,Not Discussed
0.0,1,1,0,0,1,1,13120118,Not Discussed
0.0,1,1,0,0,1,1,13188512,Not Discussed
0.0,1,1,0,0,1,1,13230519,Matches
0.0,1,1,0,0,1,1,13394708,Not Discussed
0.0,1,1,0,0,1,1,14048346,Not Discussed
0.0,1,1,0,0,1,1,14873571,Excludes
0.0,1,1,0,0,1,1,1502030,Not Discussed
0.0,1,1,0,0,1,1,15060100,Not Discussed
0.0,1,1,0,0,1,1,15277467,Not Discussed
0.0,1,1,0,0,1,1,15515191,Not Discussed
0.0,1,1,0,0,1,1,15577314,Not Discussed
0.0,1,1,0,0,1,1,15694309,Not Discussed
0.0,1,1,0,0,1,1,15917418,Not Discussed
0.0,1,1,0,0,1,1,15948115,Not Discussed
0.0,1,0,0,0,0,1,16086994,Excludes
0.0,1,1,0,0,1,1,16410717,Not Discussed
0.0,1,1,0,0,1,1,16540682,Not Discussed
1.0,0,1,0,0,1,1,16548152,Not Discussed
0.0,1,1,0,0,1,1,16809487,Not Discussed
0.0,1,1,0,0,1,1,17016922,Not Discussed
0.9999991684719722,0,1,0,0,1,1,17159915,Not Discussed
0.9999991684719722,0,0,1,0,0,1,17346341,Excludes
0.0,1,1,0,0,1,1,17409425,Not Discussed
0.0,1,1,0,0,1,1,18056475,Not Discussed
0.0,1,1,0,0,1,1,18279546,Not Discussed
0.0,1,1,0,0,1,1,18374154,Not Discussed
0.0,1,1,0,0,1,1,18473997,Not Discussed
0.0,1,1,0,0,1,1,18644254,Not Discussed
0.0,1,1,0,0,1,1,18715233,Not Discussed
0.0,1,1,0,0,1,1,1872932,Not Discussed
0.0,1,1,0,0,1,1,18790768,Not Discussed
0.0,1,1,0,0,1,1,18794803,Not Discussed
0.0,1,1,0,0,1,1,18840924,Not Discussed
0.0,1,1,0,0,1,1,19282848,Not Discussed
0.0,1,1,0,0,1,1,19398955,Not Discussed
0.0,1,1,0,0,1,1,20233623,Not Discussed
0.0,1,1,0,0,1,1,20576522,Not Discussed
0.0,1,1,0,0,1,1,20818844,Not Discussed
0.0,1,1,0,0,1,1,20942773,Not Discussed
0.0,1,1,0,0,1,1,20944096,Not Discussed
0.0,1,1,0,0,1,1,21098728,Not Discussed
0.0,1,1,0,0,1,1,21131919,Not Discussed
0.0,1,1,0,0,1,1,21139585,Not Discussed
0.0,1,1,0,0,1,1,21174863,Not Discussed
0.0,1,1,0,0,1,1,21343559,Not Discussed
0.9525741268224334,0,0,1,1,0,1,21352266,Matches
0.0,1,1,0,0,1,1,21615881,Not Discussed
0.0,1,1,0,0,1,1,21635872,Not Discussed
0.0,1,1,0,0,1,1,21639808,Not Discussed
0.0,1,1,0,0,1,1,21788131,Not Discussed
0.0,1,1,0,0,1,1,21905615,Not Discussed
0.0,1,1,0,0,1,1,21995398,Not Discussed
0.0,1,1,0,0,1,1,21995399,Not Discussed
0.0,1,1,0,0,1,1,21995400,Not Discussed
0.0,1,0,0,0,1,1,22012135,Not Discussed
0.0,1,1,0,0,1,1,22156613,Not Discussed
0.0,1,1,0,0,1,1,22189819,Not Discussed
0.0,1,1,0,0,1,1,22235286,Not Discussed
0.0,1,1,0,0,1,1,22241959,Not Discussed
0.0,1,1,0,0,1,1,22261672,Not Discussed
0.0,1,1,0,0,1,1,22281684,Not Discussed
0.0,1,1,0,0,1,1,22356324,Not Discussed
0.0,1,1,0,0,1,1,22382362,Not Discussed
0.0,1,1,0,0,1,1,22425959,Not Discussed
0.0,1,1,0,0,1,1,22535154,Not Discussed
0.0,1,1,0,0,1,1,22554099,Not Discussed
