count_match_self,count_match_ancestor,count_match_descendant,topicid,docid,label
10,0,0,1,10065107,Exact
0,0,0,1,10101594,More General
6,0,3,1,10220412,More Specific
0,0,0,1,10323080,More General
6,0,2,1,10466061,Exact
0,0,0,1,10587703,Not Disease
6,0,0,1,10755400,More Specific
8,0,3,1,10792803,More Specific
10,0,3,1,10981874,More Specific
6,0,1,1,11369052,More Specific
0,0,0,1,11400112,Not Disease
18,1,0,1,11505267,Exact
0,1,0,1,11564577,More General
12,1,4,1,11757866,More Specific
10,1,1,1,12242528,More Specific
0,1,0,1,12565795,More General
0,0,0,1,12631396,More General
14,0,4,1,12640106,More General
4,0,1,1,14736600,Exact
0,0,0,1,15122585,Not Disease
6,0,0,1,15154619,More Specific
12,0,4,1,15991843,More Specific
0,0,0,1,16288002,Not Disease
0,0,0,1,16707471,Not Disease
6,0,0,1,17214366,Exact
0,0,0,1,17664862,More General
6,0,3,1,17895758,More Specific
4,1,1,1,18413802,More Specific
0,0,0,1,18484097,Not Disease
0,0,0,1,18790768,Not Disease
56,0,24,1,18820664,More Specific
2,0,1,1,19664496,More Specific
4,0,2,1,19737942,More Specific
2,0,0,1,19816710,More Specific
30,0,5,1,20473880,More Specific
4,0,1,1,20497911,More General
8,1,3,1,20588177,More Specific
10,0,4,1,20601955,More General
12,0,3,1,20697254,More Specific
0,0,0,1,20736297,Not Disease
0,0,0,1,21325289,Not Disease
10,1,0,1,21358383,More Specific
10,0,2,1,21552124,More Specific
0,0,0,1,21593195,Not Disease
10,0,2,1,21793095,Exact
0,0,0,1,21801719,Not Disease
0,0,0,1,22302033,Not Disease
2,0,0,1,22307930,More Specific
4,0,2,1,22374332,More General
4,0,1,1,22678079,More Specific
0,0,0,1,23174577,Not Disease
16,0,1,1,23393200,More Specific
4,0,2,1,23569312,More Specific
14,0,2,1,23852861,More Specific
4,0,2,1,24065146,More Specific
0,0,0,1,24168228,Not Disease
4,0,0,1,24397249,Exact
0,0,0,1,24406431,More General
16,0,4,1,24487315,Exact
0,0,0,1,24496383,Not Disease
0,0,0,1,24751144,Not Disease
0,0,0,1,24795392,Not Disease
14,0,1,1,25028469,Exact
14,0,5,1,25059573,More Specific
22,0,0,1,25121597,More Specific
0,0,0,1,25223380,Not Disease
0,0,0,1,25301361,Not Disease
16,0,4,1,25679065,Exact
8,0,3,1,25690861,Exact
2,0,0,1,25810375,Not Disease
4,0,0,1,25822339,Exact
2,0,0,1,25941111,Not Disease
20,0,3,1,25993159,Exact
10,0,3,1,26084847,Exact
