match_gene,has_variation,match_variation,match_total_variation,has_other_info,match_other_info,topicid,docid,label
0,1,0,0,0,0,1,1007359,Missing Gene
0,1,0,0,0,0,1,10833951,Missing Gene
0,1,0,0,0,0,1,11381855,Missing Gene
0,1,0,0,0,0,1,13019089,Missing Gene
0,1,0,0,0,0,1,13019606,Missing Gene
0,1,0,0,0,0,1,13120118,Missing Gene
0,1,0,0,0,0,1,13188512,Missing Gene
0,1,0,0,0,0,1,13230519,Missing Gene
0,1,0,0,0,0,1,13394708,Missing Gene
0,1,0,0,0,0,1,14048346,Missing Gene
0,1,0,0,0,0,1,14873571,Missing Gene
0,1,0,0,0,0,1,1502030,Missing Gene
2,1,0,0,0,0,1,15060100,Exact
3,1,0,0,0,0,1,15277467,Exact
8,1,0,0,0,0,1,15515191,Different Variant
5,1,0,0,0,0,1,15577314,Different Variant
11,1,1,1,0,0,1,15694309,Exact
1,1,0,0,0,0,1,15917418,Missing Gene
9,1,1,5,0,0,1,15948115,Exact
0,1,0,0,0,0,1,16086994,Missing Gene
5,1,2,2,0,0,1,16410717,Exact
11,1,9,9,0,0,1,16540682,Exact
0,1,0,0,0,0,1,16548152,Missing Gene
4,1,0,0,0,0,1,16809487,Missing Variant
0,1,0,0,0,0,1,17016922,Missing Gene
9,1,2,2,0,0,1,17159915,Exact
0,1,0,0,0,0,1,17346341,Missing Gene
17,1,11,11,0,0,1,17409425,Exact
7,1,1,1,0,0,1,18056475,Missing Gene
5,1,0,0,0,0,1,18279546,Missing Gene
8,1,2,2,0,0,1,18374154,Exact
19,1,4,4,0,0,1,18473997,Exact
7,1,2,2,0,0,1,18644254,Exact
9,1,4,4,0,0,1,18715233,Exact
0,1,0,0,0,0,1,1872932,Missing Gene
10,1,4,4,0,0,1,18790768,Exact
6,1,5,10,0,0,1,18794803,Exact
9,1,8,8,0,0,1,18840924,Exact
1,1,4,4,0,0,1,19282848,Exact
10,1,3,3,0,0,1,19398955,Exact
10,1,2,2,0,0,1,20233623,Exact
9,1,6,6,0,0,1,20576522,Exact
7,1,3,3,0,0,1,20818844,Exact
4,1,2,2,0,0,1,20942773,Exact
8,1,6,6,0,0,1,20944096,Exact
18,1,2,2,0,0,1,21098728,Exact
3,1,2,2,0,0,1,21131919,Missing Gene
2,1,0,0,0,0,1,21139585,Exact
1,1,1,1,0,0,1,21174863,Exact
5,1,0,1,0,0,1,21343559,Missing Variant
1,1,1,1,0,0,1,21352266,Exact
7,1,6,6,0,0,1,21615881,Exact
8,1,3,3,0,0,1,21635872,Exact
2,1,2,2,0,0,1,21639808,Exact
7,1,3,3,0,0,1,21788131,Exact
0,1,1,2,0,0,1,21905615,Exact
1,1,1,1,0,0,1,21995398,Exact
1,1,1,1,0,0,1,21995399,Exact
1,1,1,1,0,0,1,21995400,Exact
14,1,11,11,0,0,1,22012135,Exact
7,1,0,0,0,0,1,22156613,Missing Variant
12,1,11,11,0,0,1,22189819,Exact
13,1,8,8,0,0,1,22235286,Exact
4,1,2,2,0,0,1,22241959,Exact
2,1,2,2,0,0,1,22261672,Exact
12,1,11,11,0,0,1,22281684,Exact
6,1,0,0,0,0,1,22356324,Exact
10,1,8,8,0,0,1,22382362,Exact
0,1,2,2,0,0,1,22425959,Exact
2,1,1,2,0,0,1,22535154,Missing Variant
12,1,4,5,0,0,1,22554099,Exact
2,1,1,2,0,0,1,22663011,Missing Variant
1,1,0,0,0,0,1,22735384,Exact
3,1,2,2,0,0,1,22742884,Exact
3,1,1,1,0,0,1,22744255,Exact
0,1,0,0,0,0,1,22805292,Missing Variant
3,1,2,2,0,0,1,22850568,Exact
8,1,6,6,0,0,1,22934253,Exact
5,1,2,2,0,0,1,22962325,Exact
13,1,8,9,0,0,1,23026937,Exact
3,1,2,2,0,0,1,23036672,Exact
8,1,0,0,0,0,1,23051966,Missing Variant
0,1,1,2,0,0,1,23169438,Missing Variant
2,1,0,0,0,0,1,23181437,Exact
11,1,2,9,0,0,1,23237741,Different Variant
8,1,0,0,0,0,1,23248257,Missing Variant
3,1,3,3,0,0,1,23249624,Exact
3,1,1,1,0,0,1,23288408,Exact
5,1,0,0,0,0,1,23290787,Missing Variant
8,1,3,3,0,0,1,23306863,Exact
0,1,2,2,0,0,1,23344460,Exact
2,1,1,1,0,0,1,23358426,Exact
6,1,4,4,0,0,1,23403819,Exact
11,1,5,5,0,0,1,23454771,Exact
10,1,6,12,0,0,1,23579220,Missing Variant
16,1,1,1,0,0,1,23615632,Exact
10,1,1,1,0,0,1,23621583,Exact
5,1,0,0,0,0,1,23735514,Exact
8,1,3,3,0,0,1,23792568,Exact
8,1,6,6,0,0,1,23802768,Missing Variant
6,1,4,5,0,0,1,23807941,Exact
5,1,0,0,0,0,1,23817129,Missing Variant
4,1,2,2,0,0,1,23852164,Exact
2,1,1,1,0,0,1,23898270,Missing Variant
2,1,1,1,0,0,1,23918947,Missing Variant
5,1,1,1,0,0,1,23924408,Exact
4,1,3,3,0,0,1,23938765,Exact
2,1,1,1,0,0,1,24023633,Exact
7,1,0,0,0,0,1,24114495,Missing Variant
15,1,2,2,0,0,1,24200969,Exact
9,1,2,2,0,0,1,24201813,Missing Variant
2,1,2,2,0,0,1,24241686,Exact
8,1,3,3,0,0,1,24259661,Exact
3,1,0,0,0,0,1,24265154,Missing Variant
10,1,0,0,0,0,1,24333389,Missing Variant
12,1,7,7,0,0,1,24335665,Exact
10,1,5,5,0,0,1,24398428,Exact
5,1,1,2,0,0,1,24403169,Missing Variant
7,1,5,5,0,0,1,24422853,Exact
10,1,5,5,0,0,1,24471189,Exact
2,1,1,2,0,0,1,24508103,Exact
4,1,1,1,0,0,1,24516336,Exact
6,1,5,5,0,0,1,24535907,Exact
5,1,0,0,0,0,1,24567366,Missing Variant
0,1,4,4,0,0,1,24588073,Exact
3,1,3,3,0,0,1,24612623,Exact
9,1,3,3,0,0,1,24670642,Exact
6,1,2,2,0,0,1,24684646,Exact
9,1,3,3,0,0,1,24725538,Exact
0,1,0,0,0,0,1,24893747,Missing Variant
7,1,0,0,0,0,1,24958825,Missing Variant
14,1,6,9,0,0,1,24971404,Exact
1,1,0,0,0,0,1,25037139,Missing Variant
12,1,0,0,0,0,1,25051202,Missing Variant
4,1,3,3,0,0,1,25096067,Exact
8,1,8,8,0,0,1,25117819,Exact
3,1,2,2,0,0,1,25159853,Exact
3,1,2,2,0,0,1,25257244,Exact
7,1,3,6,0,0,1,25265492,Missing Variant
2,1,0,0,0,0,1,25265494,Missing Variant
11,1,9,9,0,0,1,25351955,Exact
7,1,5,5,0,0,1,25361077,Exact
4,1,3,3,0,0,1,25364391,Exact
18,1,1,4,0,0,1,25376477,Exact
8,1,0,0,0,0,1,25385327,Missing Variant
4,1,2,4,0,0,1,25399551,Missing Variant
19,1,15,15,0,0,1,25411185,Exact
8,1,6,6,0,0,1,25468810,Exact
5,1,2,2,0,0,1,25472943,Exact
4,1,1,1,0,0,1,25562798,Missing Variant
